65.818,35.522,51.014,44.658,36.457,56.047,4.9372,19.221,100.27,27.574,4.5608,15.93,80.968,48.753,10.905,12.525,99.369,41.763,11.733,63.137,11.205,53.113,10.196,84.457,42.551,65.53,58.309,80.484,33.536,72.731,38.759,38.759
65.192,35.886,50.322,44.327,36.263,55.413,4.9438,18.925,99.368,27.452,4.5348,15.6,79.823,48.026,10.839,12.37,98.901,41.708,11.527,62.196,11.075,50.634,9.9737,82.55,42.716,66.624,57.625,80.772,32.675,72.445,38.581,38.581
64.569,36.214,49.636,43.99,36.07,54.783,4.9499,18.632,98.471,27.326,4.5096,15.275,78.684,47.305,10.773,12.216,98.434,41.645,11.34,61.274,10.956,48.466,9.7648,80.679,42.933,67.663,56.97,81.036,31.868,72.15,38.401,38.401
63.95,36.507,48.955,43.646,35.878,54.158,4.9556,18.342,97.578,27.196,4.4853,14.956,77.552,46.589,10.708,12.063,97.968,41.573,11.172,60.37,10.846,46.594,9.5695,78.843,43.126,68.648,56.342,81.277,31.111,71.846,38.218,38.218
63.335,36.767,48.278,43.296,35.686,53.536,4.9609,18.054,96.689,27.064,4.4617,14.641,76.426,45.88,10.643,11.912,97.504,41.493,11.021,59.484,10.745,45.008,9.3872,77.042,43.297,69.581,55.74,81.496,30.406,71.533,38.032,38.032
62.724,36.993,47.607,42.941,35.494,52.919,4.9657,17.769,95.804,26.928,4.439,14.331,75.306,45.176,10.579,11.762,97.041,41.406,10.888,58.617,10.653,43.694,9.2178,75.277,43.446,70.462,55.165,81.694,29.749,71.211,37.843,37.843
62.116,37.187,46.941,42.58,35.304,52.306,4.9701,17.487,94.924,26.788,4.417,14.026,74.193,44.477,10.515,11.614,96.579,41.311,10.773,57.768,10.569,42.642,9.0607,73.546,43.574,71.293,54.615,81.87,29.14,70.882,37.652,37.652
61.512,37.349,46.28,42.213,35.114,51.698,4.9741,17.208,94.048,26.646,4.3957,13.726,73.087,43.785,10.451,11.467,96.118,41.209,10.674,56.937,10.494,41.838,8.9156,71.851,43.681,72.074,54.089,82.025,28.577,70.544,37.458,37.458
60.911,37.481,45.624,41.842,34.925,51.093,4.9777,16.931,93.176,26.5,4.3753,13.431,71.988,43.098,10.388,11.322,95.658,41.1,10.591,56.123,10.427,41.27,8.7822,70.191,43.766,72.807,53.588,82.16,28.06,70.199,37.262,37.262
60.314,37.582,44.973,41.466,34.736,50.493,4.9808,16.657,92.309,26.352,4.3555,13.14,70.896,42.417,10.325,11.178,95.2,40.983,10.525,55.327,10.368,40.927,8.66,68.567,43.832,73.493,53.111,82.276,27.587,69.847,37.064,37.064
59.721,37.654,44.327,41.085,34.548,49.898,4.9836,16.386,91.446,26.201,4.3365,12.855,69.811,41.741,10.262,11.036,94.743,40.86,10.473,54.549,10.316,40.797,8.5488,66.977,43.878,74.133,52.656,82.372,27.157,69.487,36.863,36.863
59.131,37.698,43.686,40.7,34.361,49.306,4.9859,16.118,90.588,26.047,4.3181,12.575,68.733,41.072,10.2,10.895,94.288,40.73,10.437,53.787,10.271,40.867,8.448,65.423,43.905,74.727,52.224,82.449,26.768,69.121,36.66,36.66
58.545,37.714,43.051,40.311,34.174,48.719,4.9878,15.852,89.734,25.89,4.3005,12.299,67.663,40.408,10.138,10.755,93.833,40.593,10.416,53.043,10.234,41.124,8.3574,63.904,43.914,75.278,51.813,82.509,26.419,68.748,36.455,36.455
57.962,37.703,42.42,39.918,33.988,48.136,4.9894,15.589,88.884,25.731,4.2835,12.028,66.6,39.75,10.076,10.617,93.38,40.45,10.408,52.315,10.203,41.558,8.2766,62.42,43.904,75.785,51.423,82.55,26.11,68.368,36.248,36.248
57.383,37.667,41.794,39.522,33.803,47.557,4.9905,15.328,88.038,25.57,4.2672,11.763,65.545,39.097,10.015,10.48,92.928,40.301,10.414,51.604,10.178,42.155,8.2051,60.971,43.876,76.25,51.054,82.574,25.838,67.983,36.039,36.039
56.808,37.605,41.174,39.122,33.618,46.983,4.9913,15.071,87.197,25.406,4.2516,11.502,64.498,38.45,9.9542,10.345,92.478,40.146,10.434,50.909,10.159,42.905,8.1427,59.558,43.831,76.675,50.704,82.582,25.602,67.592,35.828,35.828
56.237,37.518,40.558,38.719,33.434,46.413,4.9917,14.816,86.36,25.24,4.2365,11.246,63.458,37.809,9.8938,10.211,92.028,39.985,10.467,50.23,10.147,43.793,8.089,58.18,43.769,77.059,50.373,82.573,25.402,67.195,35.615,35.615
55.669,37.408,39.947,38.313,33.251,45.847,4.9917,14.563,85.528,25.072,4.2221,10.995,62.427,37.174,9.8337,10.079,91.58,39.819,10.512,49.568,10.139,44.809,8.0435,56.837,43.691,77.405,50.061,82.549,25.236,66.793,35.4,35.4
55.104,37.275,39.342,37.905,33.068,45.285,4.9914,14.314,84.7,24.902,4.2084,10.749,61.404,36.545,9.774,9.9483,91.133,39.647,10.569,48.921,10.137,45.941,8.006,55.529,43.596,77.713,49.767,82.51,25.103,66.386,35.184,35.184
54.543,37.12,38.741,37.495,32.886,44.728,4.9907,14.067,83.876,24.729,4.1952,10.508,60.389,35.921,9.7147,9.8189,90.687,39.47,10.637,48.29,10.14,47.175,7.9759,54.256,43.487,77.984,49.49,82.456,25.001,65.975,34.965,34.965
53.986,36.944,38.146,37.082,32.705,44.175,4.9897,13.823,83.056,24.556,4.1826,10.272,59.382,35.303,9.6558,9.6909,90.243,39.288,10.717,47.675,10.148,48.501,7.9531,53.019,43.362,78.22,49.229,82.387,24.929,65.559,34.746,34.746
53.433,36.747,37.556,36.667,32.524,43.626,4.9883,13.581,82.241,24.38,4.1705,10.04,58.384,34.69,9.5972,9.5644,89.8,39.101,10.808,47.075,10.16,49.905,7.937,51.817,43.223,78.421,48.984,82.305,24.886,65.138,34.524,34.524
52.883,36.53,36.971,36.251,32.344,43.082,4.9865,13.342,81.43,24.203,4.1591,9.8138,57.395,34.084,9.539,9.4393,89.358,38.909,10.909,46.49,10.176,51.376,7.9274,50.65,43.071,78.588,48.755,82.21,24.871,64.714,34.302,34.302
52.337,36.295,36.39,35.834,32.165,42.541,4.9845,13.106,80.624,24.024,4.1481,9.5923,56.415,33.483,9.4812,9.3157,88.917,38.712,11.02,45.92,10.196,52.902,7.9237,49.518,42.904,78.724,48.54,82.103,24.882,64.286,34.078,34.078
51.794,36.041,35.815,35.415,31.986,42.005,4.9821,12.873,79.822,23.844,4.1377,9.3757,55.443,32.887,9.4237,9.1936,88.478,38.512,11.14,45.364,10.219,54.47,7.9258,48.422,42.725,78.827,48.34,81.983,24.918,63.855,33.852,33.852
51.255,35.771,35.245,34.996,31.808,41.474,4.9793,12.643,79.024,23.663,4.1278,9.164,54.481,32.298,9.3667,9.0728,88.04,38.307,11.269,44.823,10.246,56.069,7.9332,47.36,42.532,78.901,48.152,81.851,24.979,63.421,33.626,33.626
50.72,35.483,34.68,34.575,31.631,40.946,4.9763,12.415,78.231,23.48,4.1184,8.9572,53.527,31.714,9.31,8.9536,87.603,38.098,11.407,44.297,10.276,57.686,7.9455,46.334,42.328,78.945,47.978,81.709,25.062,62.983,33.398,33.398
50.188,35.18,34.12,34.155,31.454,40.423,4.9729,12.189,77.442,23.297,4.1095,8.7554,52.583,31.136,9.2536,8.8358,87.167,37.885,11.554,43.785,10.309,59.309,7.9623,45.343,42.112,78.961,47.815,81.555,25.166,62.544,33.169,33.169
49.66,34.863,33.565,33.734,31.278,39.904,4.9693,11.967,76.657,23.112,4.1011,8.5584,51.649,30.564,9.1976,8.7194,86.733,37.669,11.708,43.287,10.343,60.926,7.9833,44.387,41.886,78.95,47.664,81.392,25.29,62.101,32.939,32.939
49.136,34.531,33.015,33.314,31.103,39.39,4.9653,11.747,75.876,22.926,4.0931,8.3664,50.724,29.997,9.142,8.6045,86.3,37.449,11.869,42.802,10.381,62.525,8.0081,43.467,41.648,78.913,47.524,81.219,25.434,61.657,32.709,32.709
48.615,34.185,32.47,32.893,30.928,38.879,4.961,11.53,75.1,22.74,4.0856,8.1792,49.808,29.436,9.0868,8.491,85.868,37.226,12.037,42.332,10.42,64.093,8.0364,42.582,41.4,78.85,47.395,81.037,25.595,61.211,32.477,32.477
48.098,33.827,31.93,32.474,30.754,38.373,4.9565,11.316,74.329,22.553,4.0785,7.9818,48.903,28.881,9.032,8.379,85.437,37,12.212,41.874,10.46,65.619,8.0677,41.732,41.142,78.764,47.274,80.847,25.772,60.763,32.245,32.245
47.584,33.458,31.396,32.055,30.58,37.871,4.9516,11.104,73.561,22.365,4.0719,7.8207,48.007,28.332,8.9775,8.2684,85.008,36.771,12.393,41.431,10.502,67.091,8.1017,41.216,40.875,78.655,47.163,80.648,25.964,60.314,32.011,32.011
