407,407,407,407,407,407,407,407,407,406,407,406,407,407,406,407,406,407,407,406,407,406,406,407,407,406,407,408,409,408,406,407,406,406,407,407,407,407,407,407,407
415,415,414,415,415,415,415,415,415,416,415,415,415,416,415,415,416,415,415,415,414,413,413,413,412,412,414,416,417,415,411,412,412,413,413,413,413,413,413,413,413
406,406,406,406,405,406,406,406,405,406,405,406,406,405,406,406,406,405,406,405,405,405,404,405,404,403,403,404,405,404,402,402,402,402,401,401,401,401,401,401,401
416,415,415,416,415,416,416,415,415,415,415,415,415,416,415,414,415,415,414,413,413,411,412,412,412,411,412,413,413,411,408,410,409,410,411,411,411,411,411,411,411
399,398,399,398,399,398,399,398,398,399,399,398,398,399,399,398,399,398,397,398,397,396,397,396,395,395,396,396,396,395,393,394,393,393,393,393,393,393,393,393,393
407,407,407,407,407,408,407,407,407,408,407,408,408,407,408,408,408,407,408,407,407,407,405,406,405,404,405,407,409,408,406,405,406,407,407,407,407,407,407,407,407
395,395,395,395,395,395,395,396,395,395,396,395,396,395,396,395,396,396,395,395,395,394,395,394,394,395,396,396,395,394,393,394,394,393,393,393,393,393,393,393,393
402,400,401,402,401,401,402,401,402,402,402,402,403,402,403,403,403,404,403,403,403,403,402,403,402,401,402,404,407,408,406,404,406,408,408,408,408,408,408,408,408
399,398,398,399,399,398,399,399,399,399,399,399,399,399,400,399,399,400,399,399,398,398,398,398,397,396,397,399,400,399,396,397,397,396,396,396,396,396,396,396,396
421,421,420,421,420,421,420,420,420,420,420,421,420,421,420,421,420,421,420,420,420,419,419,419,419,418,417,417,418,420,420,418,418,418,418,418,418,418,418,418,418
396,395,396,396,396,395,396,396,396,397,396,396,397,396,397,396,397,396,396,396,395,395,395,395,395,395,396,397,397,395,393,394,395,396,395,395,395,395,395,395,395
409,408,408,409,408,409,409,409,409,410,409,410,409,411,410,410,411,410,411,410,410,409,408,409,409,410,412,413,414,413,411,410,411,411,411,411,411,411,411,411,411
398,397,397,397,398,397,397,398,397,398,398,397,398,398,398,397,398,398,397,397,396,396,395,395,395,394,394,396,397,397,394,393,393,393,393,393,393,393,393,393,393
408,408,408,408,409,408,408,408,408,408,407,408,408,409,408,408,409,409,409,409,408,409,408,409,409,409,408,408,409,409,409,408,407,408,409,409,409,409,409,409,409
394,394,394,394,393,394,394,394,394,394,395,393,394,395,394,394,394,393,394,392,391,391,389,390,389,388,388,390,391,389,385,386,386,387,387,387,387,387,387,387,387
395,395,395,395,395,395,395,395,394,395,394,395,395,395,395,396,395,396,395,396,395,395,395,395,396,396,395,395,396,396,396,396,396,396,397,397,397,397,397,397,397
416,416,416,417,416,417,416,416,417,416,416,417,416,417,416,417,416,417,416,415,414,415,414,415,414,412,410,410,411,411,410,406,406,406,405,405,405,405,405,405,405
418,416,418,417,417,417,417,418,417,418,417,418,417,418,418,418,418,418,417,417,417,417,415,415,415,414,414,415,417,417,415,414,414,414,413,413,413,413,413,413,413
399,399,399,398,399,398,398,398,398,397,398,397,397,397,397,397,397,397,396,395,394,394,392,392,391,390,390,391,393,393,390,389,389,389,389,389,389,389,389,389,389
406,406,406,406,406,405,406,405,406,405,406,405,405,405,405,405,406,405,405,404,405,404,404,404,404,403,402,403,405,405,404,402,403,403,402,402,402,402,402,402,402
400,400,399,400,400,399,400,399,399,399,398,399,398,400,398,399,398,399,398,398,397,397,396,395,394,392,391,392,394,395,393,391,390,389,389,389,389,389,389,389,389
407,407,407,407,407,407,407,407,407,408,407,407,407,408,407,408,407,408,407,407,407,406,405,406,404,403,404,406,409,408,405,405,405,404,404,404,404,404,404,404,404
398,398,399,398,398,398,397,397,398,396,397,396,397,396,397,396,396,396,396,396,395,394,395,393,393,393,392,391,392,393,392,391,391,390,389,389,389,389,389,389,389
410,410,409,410,409,410,410,409,409,410,409,409,409,409,409,410,408,409,408,407,408,407,406,407,407,406,406,407,408,408,405,405,406,406,406,406,406,406,406,406,406
421,420,421,421,420,420,420,421,420,420,420,419,420,420,419,420,420,420,419,420,419,418,419,418,418,418,417,417,418,418,418,416,416,416,416,416,416,416,416,416,416
416,415,416,416,415,416,415,416,415,416,415,416,415,415,416,414,415,415,414,414,413,414,413,413,413,413,413,413,412,411,411,411,411,412,412,412,412,412,412,412,412
414,414,413,413,414,413,413,414,413,414,413,414,414,414,414,413,414,414,414,413,413,412,413,411,411,410,410,412,414,413,410,411,410,409,409,409,409,409,409,409,409
409,410,409,409,408,409,408,409,409,408,409,409,408,409,409,409,409,409,408,408,408,408,407,406,406,405,405,406,408,408,405,405,405,405,404,404,404,404,404,404,404
418,418,418,418,418,418,418,418,418,417,418,418,417,418,418,417,417,418,416,416,416,415,415,415,415,416,416,415,415,414,413,413,413,414,415,415,415,415,415,415,415
410,409,409,409,410,409,409,410,409,410,409,410,410,409,410,410,410,410,409,409,409,408,408,407,407,407,407,407,408,409,408,407,406,406,406,406,406,406,406,406,406
415,415,415,415,414,415,415,415,415,415,415,415,416,415,415,416,415,415,416,414,414,414,413,412,412,412,413,413,413,413,412,410,411,411,411,411,411,411,411,411,411
408,407,407,407,407,406,407,406,407,407,406,407,407,406,407,407,407,407,406,407,406,405,406,405,404,404,404,404,405,405,404,404,404,404,403,403,403,403,403,403,403
31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
