37.643,89.05,51.484,23.041,12.15,78.107,26.098,11.339,109.92,68.784,81.6,59.443,78.082,10.23,37.621,71.171
37.163,88.62,50.986,22.585,12.029,77.894,25.779,11.188,109.15,68.424,81.015,58.666,77.453,10.172,37.147,71.048
36.691,88.185,50.496,22.144,11.912,77.683,25.466,11.039,108.38,68.065,80.438,57.899,76.827,10.114,36.677,70.921
36.227,87.745,50.016,21.719,11.797,77.473,25.16,10.892,107.62,67.705,79.826,57.145,76.203,10.056,36.213,70.788
35.772,87.3,49.546,21.309,11.684,77.265,24.861,10.747,106.87,67.345,79.347,56.405,75.582,9.9993,35.753,70.647
35.326,86.851,49.05,20.913,11.573,77.059,24.569,10.604,106.12,66.985,78.875,55.682,74.965,9.9425,35.298,70.497
34.888,86.397,48.676,20.532,11.465,76.853,24.283,10.463,105.38,66.624,78.408,54.977,74.35,9.886,34.848,70.336
34.458,85.939,48.31,20.164,11.358,76.647,24.004,10.324,104.64,66.264,77.948,54.293,73.738,9.8298,34.404,70.164
34.037,85.476,47.954,19.81,11.254,76.441,23.731,10.187,103.91,65.903,77.493,53.63,73.129,9.7739,33.964,69.98
33.625,85.008,47.606,19.47,11.152,76.235,23.464,10.051,103.19,65.542,77.043,52.991,72.523,9.7159,33.529,69.781
33.221,84.299,47.266,19.143,11.051,76.028,23.204,9.9176,102.47,65.181,76.598,52.378,71.92,9.6707,33.098,69.567
32.825,84.093,46.933,18.829,10.953,75.82,22.95,9.786,101.68,64.762,76.157,51.79,71.321,9.6258,32.673,69.336
32.438,83.883,46.607,18.527,10.857,75.611,22.701,9.6562,101.08,64.514,75.719,51.226,70.724,9.5811,32.253,69.087
32.06,83.671,46.289,18.237,10.762,75.399,22.458,9.5282,100.49,64.267,75.285,50.684,70.132,9.5367,31.838,68.818
31.69,83.454,45.976,17.959,10.67,75.186,22.221,9.402,99.905,64.018,74.854,50.164,69.542,9.4925,31.428,68.529
31.329,83.232,45.67,17.693,10.579,74.969,21.99,9.2777,99.324,63.769,74.425,49.663,68.956,9.4485,31.023,68.218
30.933,83.005,45.37,17.439,10.49,74.75,21.764,9.1552,98.747,63.518,73.999,49.18,68.373,9.4046,30.622,67.883
30.635,82.771,45.075,17.195,10.403,74.527,21.543,9.0344,98.174,63.265,73.575,48.715,67.794,9.3609,30.227,67.524
30.345,82.53,44.785,16.963,10.318,74.3,21.328,8.9154,97.604,63.01,73.154,48.265,67.219,9.3172,29.837,67.139
30.063,82.28,44.5,16.74,10.235,74.069,21.117,8.7982,97.038,62.753,72.735,47.828,66.647,9.2737,29.452,66.726
29.789,82.021,44.219,16.528,10.153,73.834,20.912,8.6828,96.474,62.492,72.319,47.405,66.079,9.2302,29.072,66.285
29.523,81.753,43.943,16.326,10.074,73.593,20.712,8.5691,95.912,62.228,71.906,46.993,65.515,9.1867,28.696,65.814
29.265,81.474,43.669,16.134,9.9955,73.348,20.516,8.4571,95.353,61.96,71.495,46.592,64.954,9.1432,28.326,65.312
29.014,81.184,43.399,15.95,9.919,73.096,20.325,8.3468,94.794,61.687,71.086,46.198,64.398,9.0996,27.961,64.778
28.77,80.881,43.132,15.776,9.8441,72.839,20.139,8.2382,94.237,61.41,70.68,45.812,63.845,9.056,27.601,64.209
